x(rad)	y(rad/s)	norbita
3.41011183943	-1.24790539459	1
4.09848904918	-0.735265693205	2
2.09719001273	-2.04421412198	2
2.65933628109	-10.6199015363	3
6.47229703068	-6.03712035369	3
4.17264849349	8.04287484417	3
5.94706541985	-0.606777247294	3
2.27480878676	2.33922630429	3
2.45846211242	-8.05185763162	4
0.25182552135	10.0102125165	5
5.46130245257	-13.9295391669	5
0.405025287446	-14.1037540837	5
0.54618738231	-3.09172989752	5
5.58822458831	11.3129421811	5
5.54611674952	2.71994232771	6
0.94182908055	6.91173601164	6
5.28879201165	7.61171362826	6
0.673148514999	-10.5069349506	6
3.20607450608	-2.38651681226	6
4.21389240354	1.63170963314	6
5.48445583246	-5.08170099625	6
3.16436778537	1.90374698997	6
2.20701614324	-4.34496029587	6
5.26738222216	0.779490648627	6
1.10509496686	5.52462297441	6
1.28271281324	-14.2296486224	7
5.08748787592	12.0889148879	7
